Product Id,Product Name,Orders Quantity,Total Quantity
1346,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,13690,19287
1394,מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,9598,13218
1569,מבשם כביסה וטקסטיל בניחוח בית מלון המקורי,8541,10406
1556,ספריי מטהר אויר ניחוח בית מלון המקורי,8342,104685
1699, מרכך כביסה אולטרה מרוכז בניחוח בית מלון יוקרתי,7619,10127
1700,ג'ל כביסה בריח מבושם בית מלון 3 ליטרים,7278,10339
1736,מבשם אויר שנמשך עד 24 שעות - ניחוח בית מלון,6340,7743
1616,דלי סחבות לחות לניקוי ורענון הרצפה - ניחוח בית מלון,6293,6892
1657,מפיץ ריח על בסיס שמנים בניחוח בית מלון,6132,8777
1564,BR75 - נוזל מרוכז לשטיפה וחיטוי כלים סניטרים ומומחה בהסרת אבנית,4491,5320
1705,נוזל לניקוי כלים בניחוח בית מלון ,4251,6148
1377,"OXY - מסיר כתמים קשים משטיחים, בגדים וריפודים",3737,4181
1392, מרכך כביסה מרוכז עם בישום יוקרתי -ריח סבון מפנק,3589,5832
1734,מרכך ומבשם כביסה אולטרה מרוכז בניחוח צליל שקד,3587,4813
1590,פניני ריח בניחוח מרכך הכביסה בית מלון,3449,5991
1698,נוזל מבשם ומחטא רצפות בניחוח צליל שקד - J-FRESH,3304,4266
1763,TOP GLASS - חומר מקצועי לניקוי חלונות על בסיס כוהל - מסדרת מוצרי TENZI,3055,4039
1376,TANEX POWER - שפריצר לניקוי כללי,3034,3596
1916,ג'ל אלכוהול לחיטוי ,2912,8385
1393,מרכך  כביסה מרוכז עם בישום יוקרתי - ניחוח טלק תינוקי,2536,3148
1750,דלי מטליות לחות- ניחוח פיור סנס,2369,2998
1466,TASONIL - ג'ל ריחני ואנטי בקטיראלי לניקוי חדרי רחצה ושירותים ומומחה בהסרת אבנית,2359,2748
1737,מבשם אויר בניחוח שנמשך עד 24 שעות -  צליל שקד,2164,2637
1668,ספריי מטהר אויר - ניחוח צליל שקד,2155,3543
1742, ערכת ניקוי חלונות מקצועית,2129,2379
1761,SANIT-NF - נוזל לניקוי אבנית מסדרת מוצרי TENZI,2113,2627
1647,ניחוח נשי חינני,2059,2221
1669, מבשם כביסה צליל שקד  700 מ&quot;ל,2028,2147486046
1934,מסכת פנים  KN95,2012,10212
1347,נוזל מבשם ומחטא רצפות בניחוח אושיין - J-FRESH,2011,2943
1746,נוזל פרקט בניחוח בית מלון,1987,2288
