City Name,Product Id,Product Name,Orders Quantity,Total Quantity
תל אביב,1346,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,409,568
תל אביב,1394,מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,367,506
תל אביב,1700,ג'ל כביסה בריח מבושם בית מלון 3 ליטרים,345,640
תל אביב,1556,ספריי מטהר אויר ניחוח בית מלון המקורי,310,638
תל אביב,1569,מבשם כביסה וטקסטיל בניחוח בית מלון המקורי,297,349
תל אביב,1616,דלי סחבות לחות לניקוי ורענון הרצפה - ניחוח בית מלון,294,325
תל אביב,1699, מרכך כביסה אולטרה מרוכז בניחוח בית מלון יוקרתי,250,356
תל אביב,1392, מרכך כביסה מרוכז עם בישום יוקרתי -ריח סבון מפנק,217,418
תל אביב,1657,מפיץ ריח על בסיס שמנים בניחוח בית מלון,211,303
תל אביב,1736,מבשם אויר שנמשך עד 24 שעות - ניחוח בית מלון,188,227
תל אביב,1705,נוזל לניקוי כלים בניחוח בית מלון ,184,286
תל אביב,1590,פניני ריח בניחוח מרכך הכביסה בית מלון,143,273
תל אביב,1393,מרכך  כביסה מרוכז עם בישום יוקרתי - ניחוח טלק תינוקי,130,178
תל אביב,1916,ג'ל אלכוהול לחיטוי ,123,431
תל אביב,1734,מרכך ומבשם כביסה אולטרה מרוכז בניחוח צליל שקד,119,191
תל אביב,1377,"OXY - מסיר כתמים קשים משטיחים, בגדים וריפודים",118,137
פתח תקווה,1346,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,485,714
פתח תקווה,1394,מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,324,451
פתח תקווה,1556,ספריי מטהר אויר ניחוח בית מלון המקורי,319,536
פתח תקווה,1569,מבשם כביסה וטקסטיל בניחוח בית מלון המקורי,287,343
פתח תקווה,1616,דלי סחבות לחות לניקוי ורענון הרצפה - ניחוח בית מלון,225,247
פתח תקווה,1657,מפיץ ריח על בסיס שמנים בניחוח בית מלון,216,322
פתח תקווה,1736,מבשם אויר שנמשך עד 24 שעות - ניחוח בית מלון,211,271
פתח תקווה,1700,ג'ל כביסה בריח מבושם בית מלון 3 ליטרים,205,301
פתח תקווה,1699, מרכך כביסה אולטרה מרוכז בניחוח בית מלון יוקרתי,197,264
פתח תקווה,1705,נוזל לניקוי כלים בניחוח בית מלון ,141,225
פתח תקווה,1347,נוזל מבשם ומחטא רצפות בניחוח אושיין - J-FRESH,121,174
פתח תקווה,1698,נוזל מבשם ומחטא רצפות בניחוח צליל שקד - J-FRESH,120,170
פתח תקווה,1590,פניני ריח בניחוח מרכך הכביסה בית מלון,117,202
פתח תקווה,1357,נוזל מבשם ומחטא רצפות בניחוח ארומה ספא - J-FRESH,112,146
פתח תקווה,1392, מרכך כביסה מרוכז עם בישום יוקרתי -ריח סבון מפנק,108,146
פתח תקווה,1734,מרכך ומבשם כביסה אולטרה מרוכז בניחוח צליל שקד,108,143
ראשון לציון,1346,נוזל מבשם ומחטא רצפות בניחוח בית מלון - J-FRESH,490,754
ראשון לציון,1394,מרכך כביסה מרוכז עם בישום יוקרתי - ניחוח בית מלון,365,483
ראשון לציון,1556,ספריי מטהר אויר ניחוח בית מלון המקורי,297,502
ראשון לציון,1569,מבשם כביסה וטקסטיל בניחוח בית מלון המקורי,269,307
ראשון לציון,1616,דלי סחבות לחות לניקוי ורענון הרצפה - ניחוח בית מלון,242,264
ראשון לציון,1657,מפיץ ריח על בסיס שמנים בניחוח בית מלון,190,262
ראשון לציון,1700,ג'ל כביסה בריח מבושם בית מלון 3 ליטרים,183,241
ראשון לציון,1699, מרכך כביסה אולטרה מרוכז בניחוח בית מלון יוקרתי,174,228
ראשון לציון,1736,מבשם אויר שנמשך עד 24 שעות - ניחוח בית מלון,157,209
ראשון לציון,1392, מרכך כביסה מרוכז עם בישום יוקרתי -ריח סבון מפנק,139,270
ראשון לציון,1564,BR75 - נוזל מרוכז לשטיפה וחיטוי כלים סניטרים ומומחה בהסרת אבנית,131,145
ראשון לציון,1705,נוזל לניקוי כלים בניחוח בית מלון ,121,165
ראשון לציון,1393,מרכך  כביסה מרוכז עם בישום יוקרתי - ניחוח טלק תינוקי,109,159
ראשון לציון,1590,פניני ריח בניחוח מרכך הכביסה בית מלון,109,243
ראשון לציון,1357,נוזל מבשם ומחטא רצפות בניחוח ארומה ספא - J-FRESH,102,112
ראשון לציון,1377,"OXY - מסיר כתמים קשים משטיחים, בגדים וריפודים",97,106
